HomePlanet,CryoSleep,Destination,Age,VIP,Transported,Group,GroupSize,CabinDeck,CabinNum,CabinSide,log_RoomService,log_FoodCourt,log_ShoppingMall,log_Spa,log_VRDeck,Surname,AgeBins,GroupBins,GroupSizeBins,CabinNumBins,log_RoomServiceBins,log_FoodCourtBins,log_ShoppingMallBins,log_SpaBins,log_VRDeckBins
Earth,False,55 Cancri e,31.0,False,False,2347.0,7,G,377.0,P,0.6931471805599453,0.5225823693215249,1.0986122886681098,6.406879986069314,0.0,Wellierras,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,9.0,False,False,2347.0,7,G,377.0,P,1.1855236847845145,0.0,0.0,0.0,0.0,Wellierras,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(0.0, 9.57]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Europa,False,55 Cancri e,44.0,True,False,2348.0,1,D,78.0,S,0.0,7.1098794630722715,4.3694478524670215,7.257707677160043,7.122866658599083,Alaring,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,35.0,False,False,2349.0,1,G,379.0,S,0.0,6.583409222158765,0.0,0.0,5.225746673713202,Brookes,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,30.0,False,True,2353.0,2,G,380.0,S,3.332204510175204,8.596558746796978,4.465908118654584,0.0,0.0,Morgerson,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,55 Cancri e,13.0,False,False,2353.0,2,F,457.0,S,6.78105762593618,0.0,0.0,0.0,0.0,Morgerson,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(0.0, 9.57]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,False,TRAPPIST-1e,45.0,True,False,2356.0,3,D,80.0,S,6.651571873589727,4.418840607796598,0.0,1.9459101490553132,0.0,Peane,"(42.0, 79.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(-1.0, 0.0]"
Mars,True,TRAPPIST-1e,4.0,False,True,2356.0,3,D,80.0,S,0.0,4.418840607796598,0.0,0.0,0.0,Peane,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,True,TRAPPIST-1e,21.0,False,True,2356.0,3,D,80.0,S,0.0,4.418840607796598,0.0,0.0,0.0,Peane,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,20.0,False,False,2357.0,1,E,139.0,P,0.0,6.016157159698354,6.902742737158593,5.375278407684165,0.0,Whitez,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(-1.0, 0.0]"
Earth,True,TRAPPIST-1e,24.0,False,True,2360.0,1,G,379.0,P,0.0,0.0,0.0,0.0,0.0,Boyersons,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,PSO J318.5-22,3.0,False,False,2361.0,2,G,380.0,P,0.0,0.0,0.0,0.0,0.0,Belley,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,PSO J318.5-22,29.0,False,True,2361.0,2,F,481.0,P,0.0,0.0,6.675823221634848,0.0,0.0,Belley,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
Europa,False,TRAPPIST-1e,28.0,False,True,2363.0,1,C,85.0,S,7.790282380703483,9.096835671179361,3.7376696182833684,0.6931471805599453,6.137727054086234,Unregul,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,44.0,False,True,2364.0,1,G,381.0,P,0.0,1.6094379124341003,1.9459101490553132,6.762729506931879,3.5263605246161616,Roachez,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Europa,True,TRAPPIST-1e,50.0,False,True,2365.0,1,D,71.0,P,0.0,0.0,0.0,0.0,0.0,Clunic,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,True,TRAPPIST-1e,35.0,False,False,2366.0,1,F,482.0,P,0.0,0.0,0.0,0.0,0.0,Raste,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,19.0,False,False,2367.0,1,F,483.0,P,0.0,0.0,0.6931471805599453,6.4692503167957724,0.0,Brookes,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.064]","(0.0, 10.017]","(-1.0, 0.0]"
Mars,False,TRAPPIST-1e,22.0,False,False,2368.0,1,E,141.0,P,6.363028103540465,0.0,5.5909869805108565,0.0,4.6913478822291435,Potte,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,30.0,False,False,2369.0,1,F,484.0,P,1.3862943611198906,0.0,6.78105762593618,0.0,3.713572066704308,Youngrayes,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(0.0, 10.091]"
Europa,False,TRAPPIST-1e,36.0,False,False,2373.0,1,D,81.0,S,0.0,8.467372496432281,0.0,8.964311948124514,4.574710978503383,Aneetle,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(0.0, 10.091]"
Mars,False,TRAPPIST-1e,20.0,False,True,2374.0,1,E,166.0,S,6.142037405587356,0.0,7.267525427828172,0.0,0.0,Sames,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,55 Cancri e,22.0,False,True,2375.0,1,G,383.0,P,0.0,0.0,6.492239835020471,4.553876891600541,0.0,Franankson,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.064]","(0.0, 10.017]","(-1.0, 0.0]"
Earth,False,55 Cancri e,22.0,False,False,2376.0,1,F,459.0,S,0.0,3.4339872044851463,0.0,0.0,6.513230110912307,Coffmaney,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.091]"
Europa,True,PSO J318.5-22,32.0,False,True,2377.0,1,C,83.0,P,0.0,0.0,0.0,0.0,0.0,Noxiong,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,35.0,False,False,2379.0,1,F,487.0,P,5.272999558563747,0.0,6.520621127558696,0.0,0.0,Grifford,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,55 Cancri e,41.0,False,False,2382.0,1,F,488.0,P,0.0,3.5263605246161616,0.0,7.1891677384203225,0.0,Leonzaley,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(-1.0, 0.0]"
Earth,True,TRAPPIST-1e,57.0,False,False,2384.0,7,G,383.0,S,0.0,0.0,0.0,0.0,0.0,Cleachrand,"(42.0, 79.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,PSO J318.5-22,3.0,False,False,2384.0,7,G,383.0,S,0.0,0.0,0.0,0.0,0.0,Cleachrand,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,55 Cancri e,11.0,False,True,2384.0,7,G,383.0,S,0.0,0.0,0.0,0.0,0.0,Pollarkeeks,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,4.0,False,True,2384.0,7,G,383.0,S,0.0,0.0,0.0,0.0,0.0,Cleachrand,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,TRAPPIST-1e,17.0,False,False,2384.0,7,G,383.0,S,0.0,0.0,0.0,0.0,0.0,Pollarkeeks,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,TRAPPIST-1e,30.0,False,False,2384.0,7,G,383.0,S,0.0,0.0,0.0,0.0,0.0,Cleachrand,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,TRAPPIST-1e,11.0,False,True,2384.0,7,G,383.0388984182233,S,0.0,0.0,0.0,0.0,0.0,Pollarkeeks,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,False,TRAPPIST-1e,23.0,False,False,2385.0,1,F,461.0,S,7.480992162869525,0.0,4.3694478524670215,0.0,1.3862943611198906,Pité,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,58.0,False,True,2387.0,1,E,142.0,P,0.0,5.993961427306569,0.0,6.53813982376767,6.19644412779452,Estiagosen,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,22.0,False,False,2389.0,1,G,384.0,S,0.0,3.8501476017100584,0.0,6.517671272912275,0.0,Solon,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(-1.0, 0.0]"
Earth,True,TRAPPIST-1e,24.0,False,False,2390.0,1,G,385.0,P,0.0,0.0,0.0,4.0943445622221,8.323851131338817,Burrilllins,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.017]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,20.0,False,False,2391.0,1,E,143.0,P,6.645090969505644,2.995732273553991,0.0,0.6931471805599453,0.0,Hendrys,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(-1.0, 0.0]"
Earth,True,TRAPPIST-1e,37.0,False,True,2392.0,1,G,386.0,P,0.0,0.0,0.0,0.0,0.0,Salin,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,49.0,False,False,2395.0,1,G,387.0,P,6.569481420414296,0.6931471805599453,0.0,0.0,0.0,Toddleton,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(0.0, 9.57]","(0.0, 10.303]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,46.0,False,False,2396.0,2,E,168.0,S,0.0,6.324358962381311,0.0,5.662960480135946,6.661854740545311,Handertiz,"(42.0, 79.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,30.0,False,False,2396.0,2,G,386.0,S,6.75110146893676,0.0,3.4339872044851463,0.0,0.0,Handertiz,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,55 Cancri e,36.0,False,False,2397.0,1,G,387.0,S,0.0,6.698268054115413,0.0,0.0,0.0,Raney,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,21.0,False,False,2398.0,1,F,490.0,P,0.0,6.660575149839686,3.8066624897703196,0.0,1.791759469228055,Barnolaney,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(0.0, 10.303]","(0.0, 10.064]","(-1.0, 0.0]","(0.0, 10.091]"
Mars,False,TRAPPIST-1e,25.0,True,False,2399.0,1,E,169.0,S,6.75110146893676,0.0,5.768320995793772,0.0,0.0,Sin,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,PSO J318.5-22,42.0,False,True,2401.0,1,G,388.0,P,0.0,0.0,0.0,0.0,0.0,Francock,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,TRAPPIST-1e,13.0,False,False,2402.0,1,G,389.0,P,0.0,0.0,0.0,0.0,0.0,Valezaley,"(-0.001, 17.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,PSO J318.5-22,25.0,False,False,2403.0,1,G,388.0,S,2.0794415416798357,0.0,0.0,6.777646593635117,0.0,Frederry,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(0.0, 9.57]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.017]","(-1.0, 0.0]"
Europa,False,TRAPPIST-1e,29.0,False,False,2404.0,4,C,86.0,S,0.0,6.300785794663244,2.0794415416798357,7.8826922062890254,7.3537223303996315,Disheract,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Europa,True,TRAPPIST-1e,17.0,False,True,2404.0,4,C,86.0,S,0.0,0.0,0.0,0.0,0.0,Disheract,"(-0.001, 17.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Europa,False,55 Cancri e,36.0,False,True,2404.0,4,C,86.0,S,6.720220155135295,8.622273667866745,4.875197323201151,3.871201010907891,7.066466970136958,Oilpuring,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Europa,True,TRAPPIST-1e,44.0,False,True,2404.0,4,C,86.0,S,0.0,0.0,0.0,0.0,0.0,Disheract,"(42.0, 79.0]","(-0.001, 3350.0]","(1, 8]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,True,TRAPPIST-1e,18.0,False,True,2406.0,1,F,465.0,S,0.0,0.0,0.0,0.0,0.0,Pie,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,55 Cancri e,22.0,False,False,2409.0,2,F,492.0,P,5.680172609017068,5.981414211254481,0.0,0.0,1.3862943611198906,Pottonalden,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(0.0, 9.57]","(0.0, 10.303]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.091]"
Earth,True,TRAPPIST-1e,22.0,False,True,2409.0,2,G,390.0,P,0.0,0.0,0.0,0.0,0.0,Pottonalden,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,TRAPPIST-1e,43.0,False,True,2410.0,1,G,391.0,P,0.0,0.0,0.0,0.0,0.0,Beckeetter,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,29.0,False,True,2411.0,1,F,493.0,P,2.995732273553991,7.65728279297819,2.8903717578961645,0.0,0.0,Howenters,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,TRAPPIST-1e,24.0,False,True,2412.0,1,G,392.0,P,0.0,0.0,0.0,0.0,0.0,Bertsontry,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,PSO J318.5-22,18.0,False,True,2413.0,1,G,390.0,S,0.0,0.0,0.0,0.0,0.0,Barnoldeney,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Europa,False,TRAPPIST-1e,42.0,False,False,2414.0,1,T,1.0,P,0.0,7.512071245835466,1.0986122886681098,8.050065422915965,7.803026643632217,Headfair,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(0.0, 10.303]","(0.0, 10.064]","(0.0, 10.017]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,43.0,False,False,2416.0,1,G,391.0,S,2.302585092994046,0.0,6.984716320118266,0.0,6.593044534142437,Nolds,"(42.0, 79.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,32.0,False,False,2417.0,1,G,393.0,P,2.4849066497880004,3.4657359027997265,0.0,6.729824070489475,2.302585092994046,Mcgowaymond,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(0.0, 9.57]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(0.0, 10.091]"
Earth,True,TRAPPIST-1e,15.0,False,True,2419.0,1,G,394.0,P,0.0,0.0,0.0,0.0,0.0,Mclainez,"(-0.001, 17.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,False,TRAPPIST-1e,22.0,False,True,2421.0,1,E,145.0,P,0.0,0.0,0.0,0.0,0.0,Sepie,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,True,TRAPPIST-1e,20.0,False,False,2423.0,1,G,395.0,P,0.0,0.0,0.0,0.0,0.0,Boltond,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,34.0,False,True,2424.0,1,G,393.0,S,3.5553480614894135,5.4116460518550396,7.352441100243583,0.0,0.0,Fishopper,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,True,TRAPPIST-1e,70.0,False,True,2426.0,2,F,466.0,S,0.0,0.0,0.0,0.0,0.0,Gine,"(42.0, 79.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Mars,True,TRAPPIST-1e,18.0,False,True,2426.0,2,F,466.0,S,0.0,0.0,0.0,0.0,0.0,Gine,"(17.0, 42.0]","(-0.001, 3350.0]","(1, 8]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Europa,True,TRAPPIST-1e,26.0,False,True,2427.0,1,B,94.0,S,0.0,0.0,0.0,0.0,0.0,Geneltic,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,17.0,False,False,2429.0,1,F,497.0,P,4.727387818712341,4.04305126783455,5.808142489980444,0.0,6.408528791059498,Vinozarks,"(-0.001, 17.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(-1.0, 0.0]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,13.0,False,False,2431.0,1,F,498.0,P,0.0,1.0986122886681098,0.0,6.340359303727752,5.342334251964811,Josesh,"(-0.001, 17.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(0.0, 10.303]","(-1.0, 0.0]","(0.0, 10.017]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,19.0,False,False,2432.0,1,F,499.0,P,0.0,0.0,4.382026634673881,0.0,0.0,Anthompson,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
Europa,True,TRAPPIST-1e,32.0,False,True,2433.0,1,C,84.0,P,0.0,0.0,0.0,0.0,0.0,Ametic,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(-0.001, 300.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,33.0,False,False,2435.0,1,F,467.0,S,1.6094379124341003,0.0,3.367295829986474,0.0,7.922261058353247,Bonder,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(0.0, 9.57]","(-1.0, 0.0]","(0.0, 10.064]","(-1.0, 0.0]","(0.0, 10.091]"
Earth,False,TRAPPIST-1e,21.0,False,False,2436.0,1,F,501.0,P,6.633318433280377,0.0,0.0,0.0,3.713572066704308,Figuez,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(0.0, 9.57]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(0.0, 10.091]"
Mars,True,TRAPPIST-1e,23.0,False,True,2438.0,1,F,503.0,P,0.0,0.0,0.0,0.0,0.0,Stake,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]","(-1.0, 0.0]"
Earth,False,TRAPPIST-1e,24.0,False,True,2439.0,1,F,504.0,P,5.429345628954441,6.2878585601617845,2.6390573296152584,0.0,0.0,Bardinard,"(17.0, 42.0]","(-0.001, 3350.0]","(0, 1]","(300.0, 700.0]","(0.0, 9.57]","(0.0, 10.303]","(0.0, 10.064]","(-1.0, 0.0]","(-1.0, 0.0]"
